Subclass in Use Report,
Name:,Production 05Aug05
GUID:,BC80EC566DB14C97A5AD7537D72EF82B
Schema:,agile
Server:,//aglnlorrdev15.us.dell.com
VersionDB:,9.3.525.24
Create Time:,08/07/2024 05:24:35 AM PDT

Subclass,Class,Total Objects,Deleted Objects,Query,Criteria,Workflow,Privilege,Role
"Assy Drawing,M/B",Parts,1211,0,"(Role VIEWER I) GetFile Assy Drawing,M/B","(Role VIEWER I) GetFile Assy Drawing,M/B",,"(Role VIEWER G) GetFile Assy Drawing,M/B",Type O Role
,,,,"(Role VIEWER K 3D1) GetFile Assy Drawing,M/B","(Role VIEWER K 3D1) GetFile Assy Drawing,M/B",,"(Role MOD PARTS P3 CMA'S) Mod P3 Assy Drawing,M/B","Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,"For Assy Drawing,M/B Only - Exclude SBOM","For Assy Drawing,M/B Only - Exclude SBOM",,"(Role VIEWER B) GetFile Assy Drawing,M/B",Role VIEWER E
,,,,"(Role VIEWER D) GetFile Assy Drawing,M/B","(Role VIEWER D) GetFile Assy Drawing,M/B",,"(Role VIEWER I) GetFile Assy Drawing,M/B",Create All Items (Subclass Level)
,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Assy Dwg,M/B non CL","(Role MOD PARTS P3 PROJ PLNR) Mod P3 Assy Dwg,M/B non CL",,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Assy Dwg,M/B non CL",Role DELL LEGAL
,,,,"(Role VIEWER F) GetFile Assy Drawing,M/B","(Role VIEWER F) GetFile Assy Drawing,M/B",,"(Role VIEWER K 3D1) GetFile Assy Drawing,M/B",Role VIEWER I
,,,,"All Parts-Assy Drawing,M/B (Subclass Access)","All Parts-Assy Drawing,M/B (Subclass Access)",,"Checkout-Assy Drawing,M/B",Role DOCUMENT SUBMITTER
,,,,"(Role VIEWER E) GetFile Assy Drawing,M/B","(Role VIEWER E) GetFile Assy Drawing,M/B",,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Assy Dwg,M/B CL",Openmanage Viewer
,,,,"(Role VIEWER B) GetFile Assy Drawing,M/B","(Role VIEWER B) GetFile Assy Drawing,M/B",,"(Role READ/DISCOVER P3) Discover P3 Assy Drawing,M/B",Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,"(Role VIEWER C) GetFile Assy Drawing,M/B","(Role VIEWER C) GetFile Assy Drawing,M/B",,"(Role VIEWER D) GetFile Assy Drawing,M/B",Role Check In Check Out
,,,,"(Role VIEWER H) GetFile Assy Drawing,M/B","(Role VIEWER H) GetFile Assy Drawing,M/B",,"(Role VIEWER F) GetFile Assy Drawing,M/B","Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Assy Dwg,M/B CL","(Role MOD PARTS P3 PROJ PLNR) Mod P3 Assy Dwg,M/B CL",,"Upgrade Supplier Access - Modify Assy Drawing, M_B",Role VIEWER F
,,,,"For Assy Drawing,M/B Only","For Assy Drawing,M/B Only",,"(Role VIEWER J 3B) GetFile Assy Drawing,M/B",Role CREATOR
,,,,"(Role VIEWER J 3B) GetFile Assy Drawing,M/B","(Role VIEWER J 3B) GetFile Assy Drawing,M/B",,"Checkin-Assy Drawing,M/B",Role MOD PARTS P3 PROJ PLNR
,,,,"(Role VIEWER G) GetFile Assy Drawing,M/B","(Role VIEWER G) GetFile Assy Drawing,M/B",,"Create-Assy Drawing,M/B",Role READ/DISCOVER P3
,,,,,,,"(Role READ/DISCOVER P3) Read P3 Assy Drawing,M/B",Role VIEWER J 3B
,,,,,,,"(Role VIEWER H) GetFile Assy Drawing,M/B",Role VIEWER H
,,,,,,,"(Role VIEWER C) GetFile Assy Drawing,M/B",Role VIEWER C
,,,,,,,"Modify Attachments-Assy Drawing,M/B",Role PGDS ANALYST
,,,,,,,"(Role VIEWER E) GetFile Assy Drawing,M/B",Role VIEWER G
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER A
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
