Subclass in Use Report,
Name:,Production 05Aug05
GUID:,BC80EC566DB14C97A5AD7537D72EF82B
Schema:,agile
Server:,//aglnlorrdev15.us.dell.com
VersionDB:,9.3.525.24
Create Time:,08/07/2024 05:24:35 AM PDT

Subclass,Class,Total Objects,Deleted Objects,Query,Criteria,Workflow,Privilege,Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
Problem Report,Problem Reports,0,0,,,,,
Processor,Parts,13606,1,(Role VIEWER C) GetFile Processor,(Role VIEWER C) GetFile Processor,,Modify Attachments-Processor,Type O Role
,,,,(Role VIEWER E) GetFile Processor,(Role VIEWER E) GetFile Processor,,(Role MOD PARTS P3 CMA'S) Mod P3 Processor,Role Bulk Update User
,,,,(Role VIEWER D) GetFile Processor,(Role VIEWER D) GetFile Processor,,(Role VIEWER I) GetFile Processor,Role VIEWER E
,,,,p_inter,p_inter,,(Role VIEWER K 3D1) GetFile Processor,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,(Role VIEWER H) GetFile Processor,(Role VIEWER H) GetFile Processor,,(Role VIEWER D) GetFile Processor,Create All Items (Subclass Level)
,,,,All Parts-Processor (Subclass Access),All Parts-Processor (Subclass Access),,Upgrade Supplier Access - Modify Processor,Role DELL LEGAL
,,,,For Processor Only,For Processor Only,,(Role SUPERUSER) Modify Processor Flex Fields,Role DOCUMENT SUBMITTER
,,,,(Role VIEWER F) GetFile Processor,(Role VIEWER F) GetFile Processor,,(Role VIEWER F) GetFile Processor,Role VIEWER I
,,,,For Processor Only - Exclude SBOM,For Processor Only - Exclude SBOM,,Modify_HW,Openmanage Viewer
,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Processor,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Processor,,Checkout-Processor,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,(Role VIEWER J 3B) GetFile Processor,(Role VIEWER J 3B) GetFile Processor,,Read Processor Flex Fields,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,(Role VIEWER G) GetFile Processor,(Role VIEWER G) GetFile Processor,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Processor,Role Check In Check Out
,,,,(Role VIEWER I) GetFile Processor,(Role VIEWER I) GetFile Processor,,(Role VIEWER J 3B) GetFile Processor,Role VIEWER F
,,,,(Role VIEWER K 3D1) GetFile Processor,(Role VIEWER K 3D1) GetFile Processor,,(Role VIEWER C) GetFile Processor,Role CREATOR
,,,,(Role VIEWER B) GetFile Processor,(Role VIEWER B) GetFile Processor,,(Role VIEWER E) GetFile Processor,Modify Devices
,,,,,,,(Role VIEWER H) GetFile Processor,Role MOD PARTS P3 PROJ PLNR
,,,,,,,(Role READ/DISCOVER P3) Discover P3 Processor,Role READ/DISCOVER P3
,,,,,,,(Role VIEWER B) GetFile Processor,Role VIEWER J 3B
,,,,,,,(Role VIEWER G) GetFile Processor,AIC Data Migration
,,,,,,,Create-Processor,Role VIEWER H
,,,,,,,(Role READ/DISCOVER P3) Read P3 Processor,Role VIEWER C
,,,,,,,,Role PGDS ANALYST
,,,,,,,,Role VIEWER G
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER A
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role SUPERUSER
,,,,,,,,Administrator
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER D
Product Hold,Problem Reports,1307,0,For PQM PHold CS & Modify as PHold Criteria,For PQM PHold CS & Modify as PHold Criteria,,(Role WORK PHold) Modify as Originator PHold,Role WORK PSR PRODUCT HOLD GENERAL USER
,,,,For PQM PHold Modify as Originator PHold Criteria,For PQM PHold Modify as Originator PHold Criteria,,(Role WORK PSR PRODUCT HOLD) Read,Role PQM SUPERUSER
,,,,For Product Hold Problem Report Only,For Product Hold Problem Report Only,,(Role WORK PSR PRODUCT HOLD) Discovery,
,,,,,,,(Role WORK PHold) CS PHold Pending - Closed,
,,,,,,,(Role WORK PHold) Modify PHold,
,,,,,,,(Role WORK PHold) Modify PHold as SuperUser,
,,,,,,,(Role WORK PSR PRODUCT HOLD) Create,
Product Offering Hierarchy,Parts,21,0,All Parts-Product Offering Hierarchy (Subclass Access),All Parts-Product Offering Hierarchy (Subclass Access),,Discover Product Offering,Discover Product Structure
,,,,For Product Offering,For Product Offering,,Read Product Offering,Create All Items (Subclass Level)-LOB and Product Offering Hierarchies
,,,,For Product Offering Hierarchy Only,For Product Offering Hierarchy Only,,Create-Product Offering Hierarchy,AEOP PROCESSOR
,,,,,,,Modify Product Offering Hierarchy,Role SBOM SUPERUSER
,,,,,,,AEOP_MODIFY_PRODUCT_OFFERING_HIERARCHY,Role PMCT IT DEV
,,,,,,,Checkin-Product Offering Hierarchy,Role VIEWER E
,,,,,,,Checkout-Product Offering Hierarchy,Create All Items (Subclass Level)
,,,,,,,(Role READ/DISCOVER P3) Discover P3 Product Offering Hierarchy,Role DELL LEGAL
,,,,,,,Modify Attachments-Product Offering Hierarchy,Role DOCUMENT SUBMITTER
,,,,,,,(Role READ/DISCOVER P3) Read P3 Product Offering Hierarchy,Role VIEWER I
,,,,,,,,Role Check In Check Out
,,,,,,,,Role VIEWER F
,,,,,,,,Role WPR CMA
,,,,,,,,Role READ/DISCOVER P3
,,,,,,,,Role VIEWER J 3B
,,,,,,,,Role VIEWER H
,,,,,,,,Role VIEWER C
,,,,,,,,Role PGDS ANALYST
,,,,,,,,Role VIEWER A
,,,,,,,,Role VIEWER G
,,,,,,,,Role SUPERUSER
,,,,,,,,Role PG CMA
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
Program,Activities,176,23,PPM - All Program,PPM - All Program,,PPM - Modify Program Budget Cost Field,PPM - Internal Program Manager
,,,,All Programs for List,All Programs for List,,,PPM - Milestone Program Administrator
,,,,,,,,PPM - Milestone Program Manager
,,,,,,,,PPM - Program Administrator
Project,Activities,1431,175,My Uncancelled and Uncompleted Projects,My Uncancelled and Uncompleted Projects,,Modify Projects,PPM - Internal Program Manager
,,,,PPM - All Project,PPM - All Project,,PPM - Modify All Projects P3 that I own or am Team Member of,PPM - Internal Program Team Member
,,,,PPM - All Projects I own or a Team Member of,PPM - All Projects I own or a Team Member of,,PPM - Modify All Projects P3,PPM - Milestone Program Administrator
,,,,,,,PPM - Modify Project Budget Cost Field,PPM - Program Administrator
,,,,,,,,PPM - Milestone Program Manager
PrP Documentation,Documents,44,0,PPM - PrP Documentation,PPM - PrP Documentation,,PPM - Modify PrP Documentation,PPM - External Program Manager_Team Member
,,,,,,,PPM - Save As PrP Documentation,PPM - Internal Program Manager
,,,,,,,PPM - Read PrP Documentation,PPM - Internal Program Team Member
,,,,,,,PPM - Discover PrP Documentation,PPM - Milestone Program Administrator
,,,,,,,PPM - Create PrP Documentation,PPM - Milestone Program Manager
,,,,,,,PPM - Get File PrP Documentation,PPM - Program Administrator
,,,,,,,,PPM - Executive
,,,,,,,,PPM - Internal Program Read Only
PSE,Problem Reports,37627,0,For PQM PSE Modify as Originator PSE Criteria,For PQM PSE Modify as Originator PSE Criteria,,(Role WORK PSE) Restricted Modify IPS PSE,Role WORK PSR PSE GENERAL USER
,,,,For PQM PSE CS & Modify PSE Criteria,For PQM PSE CS & Modify PSE Criteria,,(Role WORK PSR PSE) Read New,Role PAW & SUPPLIER ACCESS PX
,,,,For PSE Only New,For PSE Only New,,(Role WORK PSR PSE) Create,Role WORK PSR IPS PSE GENERAL USER
,,,,For PSE Only,For PSE Only,,(Role WORK PSR PSE) Discovery,Role PQM SUPERUSER
,,,,,,,(Role WORK PSE) Restricted Modify as Originator IPS PSE,
,,,,,,,(Role WORK PSE) Modify as Originator PSE,
,,,,,,,(Role WORK PSE) Modify PSE,
,,,,,,,(Role WORK PSE) CS PSE as SuperUser,
,,,,,,,(Role WORK PSR PSE) Restricted Read IPS PSE User,
,,,,,,,(Role WORK PSR PSE) Modify as Super User,
,,,,,,,(Role WORK PSR PSE) Read,
,,,,,,,(Role WORK PSE) CS PSE Pending - Closed,
PSQN,Problem Reports,134,0,For PQM PSQN Modify as Originator PSQN Criteria,For PQM PSQN Modify as Originator PSQN Criteria,,(Role WORK PSQN) Modify as Originator PSQN,Role PQM SUPERUSER
,,,,For PSQN Only New,For PSQN Only New,,(Role WORK PSR PSQN) Read New,Role WORK PSR PSQN GENERAL USER
,,,,For PQM PSQN CS & Modify PSQN Criteria,For PQM PSQN CS & Modify PSQN Criteria,,(Role WORK PSQN) CS PSQN Pending - Closed,
,,,,For PSQN Only,For PSQN Only,,(Role WORK PSR PSQN) Create,
,,,,,,,(Role WORK PSR PSQN) Read,
,,,,,,,(Role WORK PSR PSQN) Discovery,
,,,,,,,(Role WORK PSQN) Modify PSQN,
,,,,,,,(Role WORK PSQN) Modify PSQN as SuperUser,
PVC BFR Free,Substance Declarations,0,0,For PVC BFR Free Only,For PVC BFR Free Only,Declaration Workflow,(dm) Dell - Read PVC BFR Free Declaration,Role VIEWER J 3B
,,,,For PVC BFR Free (Home Organization Only),For PVC BFR Free (Home Organization Only),,(SU) Dell - Discover PVC BFR Free Declaration,Role PGC PX
,,,,For PVC BFR Free Declarations,For PVC BFR Free Declarations,,(ces) Dell - Read PVC BFR Free Declaration,Role pgc_service_account
,,,,,,,(grvy) Dell - Discover PVC BFR Free Declarations,Role VIEWER H
,,,,,,,(px) Dell - Modify PVC BFR Free Declaration,Role Supplier Users
,,,,,,,(ex) Dell - Modify PVC BFR Free Declaration,Role VIEWER C
,,,,,,,(SU) Dell - Modify PVC BFR Free Signoff Statement,Role VIEWER E
,,,,,,,(dm) Dell - Discover PVC BFR Free Declaration,Role EXERTIS (PGC ONLY)
,,,,,,,(pgc) Dell - Read PVC BFR Free Declaration,Role VIEWER A
,,,,,,,(pjm) Dell - Modify PVC BFR Free Declaration,Role VIEWER G
,,,,,,,(grvy) Dell - Read PVC BFR Free Declarations,Role pgc_data_migration
,,,,,,,(ex) Dell - Read PVC BFR Free Declaration,Role COMPONENT ENGINEERING SERIES ONLY
,,,,,,,(SU) Dell - Read PVC BFR Free Declaration,Role VIEWER I
,,,,,,,(pgc) Dell - Read Status On PVC BFR Workflow,Role Groovy Script (PGC Only)
,,,,,,,(ces) Dell - Modify PVC BFR Free Declaration,Role VIEWER B
,,,,,,,(SU) Dell - Read PVC BFR Free Declaration Signoff Statement,Role VIEWER K 3D1
,,,,,,,(pgc) Dell - Discover PVC BFR Free Declaration,Role PG PROJ PLNR
,,,,,,,(pjm) Dell - Read PVC BFR Free Declaration,Role VIEWER D
,,,,,,,(px) Dell - Read PVC BFR Free Declaration,Role VIEWER F
,,,,,,,(dm) Dell - Modify PVC BFR Free Declaration,
,,,,,,,(ea) Dell - Modify PVC BFR Free Declaration,
,,,,,,,(ex) Dell - Discover PVC BFR Free Declaration,
,,,,,,,(px) Dell - Discover PVC BFR Free Declaration,
"PWB,M/B",Parts,1405,0,"(Role VIEWER F) GetFile PWB,M/B","(Role VIEWER F) GetFile PWB,M/B",,"Modify Attachments-PWB,M/B",Type O Role
,,,,"(Role VIEWER H) GetFile PWB,M/B","(Role VIEWER H) GetFile PWB,M/B",,"Create-PWB,M/B","Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,"(Role VIEWER K 3D1) GetFile PWB,M/B","(Role VIEWER K 3D1) GetFile PWB,M/B",,"(Role VIEWER J 3B) GetFile PWB,M/B",Role VIEWER E
,,,,"(Role VIEWER D) GetFile PWB,M/B","(Role VIEWER D) GetFile PWB,M/B",,"(Role MOD PARTS P3 CMA'S) Mod P3 PWB,M/B",Create All Items (Subclass Level)
,,,,"(Role VIEWER B) GetFile PWB,M/B","(Role VIEWER B) GetFile PWB,M/B",,"(Role VIEWER H) GetFile PWB,M/B",Role DELL LEGAL
,,,,"(Role VIEWER E) GetFile PWB,M/B","(Role VIEWER E) GetFile PWB,M/B",,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 PWB,M/B",Role DOCUMENT SUBMITTER
,,,,"(Role VIEWER J 3B) GetFile PWB,M/B","(Role VIEWER J 3B) GetFile PWB,M/B",,"(Role VIEWER B) GetFile PWB,M/B",Role VIEWER I
,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 PWB,M/B","(Role MOD PARTS P3 PROJ PLNR) Mod P3 PWB,M/B",,"(Role VIEWER C) GetFile PWB,M/B",Openmanage Viewer
,,,,"(Role VIEWER G) GetFile PWB,M/B","(Role VIEWER G) GetFile PWB,M/B",,"(Role VIEWER D) GetFile PWB,M/B",Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,"For PWB,M/B Only - Exclude SBOM","For PWB,M/B Only - Exclude SBOM",,"Checkout-PWB,M/B",Role Check In Check Out
,,,,"All Parts-PWB,M/B (Subclass Access)","All Parts-PWB,M/B (Subclass Access)",,"(Role VIEWER E) GetFile PWB,M/B","Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,"For PWB,M/B Only","For PWB,M/B Only",,"Upgrade Supplier Access - Modify PWB,M_B",Role CREATOR
,,,,"(Role VIEWER I) GetFile PWB,M/B","(Role VIEWER I) GetFile PWB,M/B",,"(Role READ/DISCOVER P3) Discover P3 PWB,M/B",Role VIEWER F
,,,,"(Role VIEWER C) GetFile PWB,M/B","(Role VIEWER C) GetFile PWB,M/B",,"(Role VIEWER F) GetFile PWB,M/B",Modify Devices
,,,,,,,"(Role VIEWER G) GetFile PWB,M/B",Role MOD PARTS P3 PROJ PLNR
,,,,,,,"(Role VIEWER I) GetFile PWB,M/B",Role READ/DISCOVER P3
,,,,,,,"Checkin-PWB,M/B",Role VIEWER J 3B
,,,,,,,"(Role VIEWER K 3D1) GetFile PWB,M/B",Role VIEWER H
,,,,,,,"(Role READ/DISCOVER P3) Read P3 PWB,M/B",Role VIEWER C
,,,,,,,,Role PGDS ANALYST
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER G
,,,,,,,,Role VIEWER A
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
"PWB,Other non M/B",Parts,2093,1,"All Parts-PWB,Other non M/B (Subclass Access)","All Parts-PWB,Other non M/B (Subclass Access)",,"Modify Attachments-PWB,Other non M/B",Type O Role
,,,,"(Role VIEWER F) GetFile PWB,Other non M/B","(Role VIEWER F) GetFile PWB,Other non M/B",,"(Role VIEWER I) GetFile PWB,Other non M/B","Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,"(Role VIEWER C) GetFile PWB,Other non M/B","(Role VIEWER C) GetFile PWB,Other non M/B",,"(Role VIEWER K 3D1) GetFile PWB,Other non M/B",Role VIEWER E
,,,,"(Role VIEWER K 3D1) GetFile PWB,Other non M/B","(Role VIEWER K 3D1) GetFile PWB,Other non M/B",,"(Role MOD PARTS P3 CMA'S) Mod P3 PWB,Other non M/B",Create All Items (Subclass Level)
,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 PWB,Other non M/B","(Role MOD PARTS P3 PROJ PLNR) Mod P3 PWB,Other non M/B",,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 PWB,Other non M/B",Role DELL LEGAL
,,,,"(Role VIEWER I) GetFile PWB,Other non M/B","(Role VIEWER I) GetFile PWB,Other non M/B",,"(Role VIEWER B) GetFile PWB,Other non M/B",Role DOCUMENT SUBMITTER
,,,,"(Role VIEWER J 3B) GetFile PWB,Other non M/B","(Role VIEWER J 3B) GetFile PWB,Other non M/B",,"Create-PWB,Other non M/B",Role VIEWER I
,,,,"(Role VIEWER E) GetFile PWB,Other non M/B","(Role VIEWER E) GetFile PWB,Other non M/B",,"(Role VIEWER C) GetFile PWB,Other non M/B",Openmanage Viewer
,,,,"For PWB,Other non M/B Only","For PWB,Other non M/B Only",,"(Role VIEWER D) GetFile PWB,Other non M/B",Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,"For PWB,Other non M/B Only - Exclude SBOM","For PWB,Other non M/B Only - Exclude SBOM",,"(Role VIEWER E) GetFile PWB,Other non M/B",Role Check In Check Out
,,,,"(Role VIEWER G) GetFile PWB,Other non M/B","(Role VIEWER G) GetFile PWB,Other non M/B",,"Checkout-PWB,Other non M/B","Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,"(Role VIEWER B) GetFile PWB,Other non M/B","(Role VIEWER B) GetFile PWB,Other non M/B",,"(Role VIEWER F) GetFile PWB,Other non M/B",Role CREATOR
,,,,"(Role VIEWER D) GetFile PWB,Other non M/B","(Role VIEWER D) GetFile PWB,Other non M/B",,"(Role VIEWER J 3B) GetFile PWB,Other non M/B",Role VIEWER F
,,,,"(Role VIEWER H) GetFile PWB,Other non M/B","(Role VIEWER H) GetFile PWB,Other non M/B",,"(Role READ/DISCOVER P3) Discover P3 PWB,Other non M/B",Modify Devices
,,,,,,,"(Role READ/DISCOVER P3) Read P3 PWB,Other non M/B",Role MOD PARTS P3 PROJ PLNR
,,,,,,,"(Role VIEWER G) GetFile PWB,Other non M/B",Role READ/DISCOVER P3
,,,,,,,"Upgrade Supplier Access - Modify PWB,Other non M_B",Role VIEWER J 3B
,,,,,,,"Checkin-PWB,Other non M/B",Role VIEWER H
,,,,,,,"(Role VIEWER H) GetFile PWB,Other non M/B",Role VIEWER C
,,,,,,,,Role PGDS ANALYST
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER A
,,,,,,,,Role VIEWER G
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER D
Rack,Parts,3261,0,For Rack Only,For Rack Only,,(Role VIEWER I) GetFile Rack,Type O Role
,,,,(Role VIEWER G) GetFile Rack,(Role VIEWER G) GetFile Rack,,Modify Attachments-Rack,Role Bulk Update User
,,,,(Role VIEWER C) GetFile Rack,(Role VIEWER C) GetFile Rack,,(Role VIEWER K 3D1) GetFile Rack,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Rack,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Rack,,Checkin-Rack,Role VIEWER E
,,,,(Role VIEWER D) GetFile Rack,(Role VIEWER D) GetFile Rack,,(Role VIEWER D) GetFile Rack,Create All Items (Subclass Level)
,,,,(Role VIEWER J 3B) GetFile Rack,(Role VIEWER J 3B) GetFile Rack,,(Role VIEWER F) GetFile Rack,Role DELL LEGAL
,,,,(Role VIEWER E) GetFile Rack,(Role VIEWER E) GetFile Rack,,(Role MOD PARTS P3 CMA'S) Mod P3 Rack,Role VIEWER I
,,,,All Parts-Rack (Subclass Access),All Parts-Rack (Subclass Access),,(Role READ/DISCOVER P3) Discover P3 Rack,Role DOCUMENT SUBMITTER
,,,,(Role VIEWER K 3D1) GetFile Rack,(Role VIEWER K 3D1) GetFile Rack,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Rack,Openmanage Viewer
,,,,(Role VIEWER H) GetFile Rack,(Role VIEWER H) GetFile Rack,,Create-Rack,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,(Role VIEWER F) GetFile Rack,(Role VIEWER F) GetFile Rack,,Read Rack TA Flex Fields,Role Check In Check Out
,,,,(Role VIEWER B) GetFile Rack,(Role VIEWER B) GetFile Rack,,Upgrade Supplier Access - Modify Rack,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,(Role VIEWER I) GetFile Rack,(Role VIEWER I) GetFile Rack,,(Role VIEWER C) GetFile Rack,Role VIEWER F
,,,,For Rack Only - Exclude SBOM,For Rack Only - Exclude SBOM,,(Role VIEWER E) GetFile Rack,Role CREATOR
,,,,,,,(Role VIEWER J 3B) GetFile Rack,Role READ/DISCOVER P3
,,,,,,,(Role VIEWER G) GetFile Rack,Role MOD PARTS P3 PROJ PLNR
,,,,,,,(Role VIEWER H) GetFile Rack,Role VIEWER J 3B
,,,,,,,Checkout-Rack,Role VIEWER H
,,,,,,,(Role VIEWER B) GetFile Rack,Role VIEWER C
,,,,,,,(Role READ/DISCOVER P3) Read P3 Rack,Role PGDS ANALYST
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER G
,,,,,,,,Role VIEWER A
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role SUPERUSER
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER D
RCAR/RLAB,Problem Reports,768,0,For PQM PSR WORK RCAR as Approver,For PQM PSR WORK RCAR as Approver,,(Role WORK RCAR/RLAB) Discovery,X DO NOT USE Role PQM SUPERUSER
,,,,For PQM PSR WORK RCAR as Originator,For PQM PSR WORK RCAR as Originator,,(Role WORK RCAR/RLAB) Read,Role WORK PSR RCAR/RLAB GENERAL USER
,,,,For PQM RCAR/RLAB Modify as Originator RCAR Criteria,For PQM RCAR/RLAB Modify as Originator RCAR Criteria,,(Role WORK RCAR) Create,Role WORK PSR RCAR
,,,,For PQM PSR WORK RCAR as Power User,For PQM PSR WORK RCAR as Power User,,(Role WORK RCAR/RLAB) Create,Role WORK PSR RCAR Power Group
,,,,For PQM RCAR/RLAB Modify RCAR Criteria,For PQM RCAR/RLAB Modify RCAR Criteria,,(Role WORK RCAR) CS RCAR as Power User - All,Role PQM SUPERUSER
,,,,For PQM PSR WORK RCAR as QA,For PQM PSR WORK RCAR as QA,,(Role WORK RCAR/RLAB) Modify RCAR as SuperUser,
,,,,For PQM RCAR/RLAB Modify as Originator RLAB Criteria,For PQM RCAR/RLAB Modify as Originator RLAB Criteria,,(Role WORK RCAR) CS RCAR as Approver - Submitted to Analyze,
,,,,For PQM RCAR/RLAB Modify RLAB Criteria,For PQM RCAR/RLAB Modify RLAB Criteria,,(Role WORK RCAR/RLAB) Modify RLAB as SuperUser,
,,,,For RCAR Approval WF Criteria,For RCAR Approval WF Criteria,,(Role WORK RCAR) CS RCAR as Originator - Pending to Submitted or Cancel,
,,,,For PQM RCAR/RLAB Change Status Pending - Closed Criteria,For PQM RCAR/RLAB Change Status Pending - Closed Criteria,,(Role WORK RCAR) CS RCAR as QA - Analyze to WAIT; WAIT to Review,
,,,,For RCAR/RLAB Only,For RCAR/RLAB Only,,(Role WORK RCAR/RLAB) Modify RCAR,
,,,,For RLAB Approval WF Criteria,For RLAB Approval WF Criteria,,(Role WORK RCAR/RLAB) Modify RLAB,
,,,,,,,(Role WORK RCAR/RLAB) Modify as Originator RCAR,
,,,,,,,(Role WORK RCAR/RLAB) CS RCAR/RLAB Pending - Closed,
,,,,,,,(Role WORK RCAR) Modify RCAR as Approver,
,,,,,,,(Role WORK RCAR) Modify RCAR as Originator,
,,,,,,,(Role WORK RCAR) Modify RCAR as Power User,
,,,,,,,(Role WORK RCAR) Modify RCAR as QA,
,,,,,,,(Role WORK RCAR/RLAB) Modify as Originator RLAB,
RCCP,Problem Reports,8,0,For PQM RCCP CS & Modify RCCP Criteria,For PQM RCCP CS & Modify RCCP Criteria,,(Role WORK RCCP) Modify RCCP,X DO NOT USE Role PQM SUPERUSER
,,,,For PQM RCCP Modify as Originator RCCP Criteria,For PQM RCCP Modify as Originator RCCP Criteria,,(Role WORK RCCP) Modify as Originator RCCP,Role WORK PSR RCCP GENERAL USER
,,,,For PQM PSR WORK RCCP as QA,For PQM PSR WORK RCCP as QA,,(Role WORK RCCP) Modify RCCP as SuperUser,Role WORK PSR RCCP Power Group
,,,,For RCCP Only,For RCCP Only,,(Role WORK RCCP) CS RCCP Pending - Closed,Role PQM SUPERUSER
,,,,For PQM PSR WORK RCCP as Approver,For PQM PSR WORK RCCP as Approver,,(Role WORK RCCP) Read,Role WORK PSR RCCP
,,,,For PQM PSR WORK RCCP as Originator,For PQM PSR WORK RCCP as Originator,,(Role WORK RCCP) Modify RCCP as Approver,
,,,,For PQM PSR WORK RCCP as Power User,For PQM PSR WORK RCCP as Power User,,(Role WORK RCCP) Create,
,,,,,,,(Role WORK RCCP) Modify RCCP as Originator,
,,,,,,,(Role WORK RCCP) Modify RCCP as Power User,
,,,,,,,(Role WORK RCCP) Modify RCCP as QA,
,,,,,,,(Role WORK RCCP) Discovery,
,,,,,,,(Role WORK RCCP) CS RCCP as Approver - Submitted to Analyze,
,,,,,,,(Role WORK RCCP) CS RCCP as Originator - Pending to Submitted or Cancel,
,,,,,,,(Role WORK RCCP) CS RCCP as QA - Analyze to WAIT; WAIT to Review,
,,,,,,,(Role WORK RCCP) CS RCCP as Power User - All,
Relay,Parts,30,0,(Role VIEWER J 3B) GetFile Relay,(Role VIEWER J 3B) GetFile Relay,,(Role MOD PARTS P3 CMA'S) Mod P3 Relay,Type O Role
,,,,(Role VIEWER F) GetFile Relay,(Role VIEWER F) GetFile Relay,,Create-Relay,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,For Relay Only,For Relay Only,,Checkin-Relay,Role VIEWER E
,,,,For Relay Only - Exclude SBOM,For Relay Only - Exclude SBOM,,(Role VIEWER J 3B) GetFile Relay,Create All Items (Subclass Level)
,,,,(Role VIEWER G) GetFile Relay,(Role VIEWER G) GetFile Relay,,(Role VIEWER H) GetFile Relay,Role DELL LEGAL
,,,,(Role VIEWER B) GetFile Relay,(Role VIEWER B) GetFile Relay,,(Role VIEWER C) GetFile Relay,Role DOCUMENT SUBMITTER
,,,,All Parts-Relay (Subclass Access),All Parts-Relay (Subclass Access),,Modify Attachments-Relay,Role VIEWER I
,,,,(Role VIEWER D) GetFile Relay,(Role VIEWER D) GetFile Relay,,Upgrade Supplier Access - Modify Relay,Openmanage Viewer
,,,,(Role VIEWER E) GetFile Relay,(Role VIEWER E) GetFile Relay,,(Role VIEWER E) GetFile Relay,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,(Role VIEWER K 3D1) GetFile Relay,(Role VIEWER K 3D1) GetFile Relay,,(Role VIEWER G) GetFile Relay,Role Check In Check Out
,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Relay,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Relay,,(Role READ/DISCOVER P3) Discover P3 Relay,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,(Role VIEWER C) GetFile Relay,(Role VIEWER C) GetFile Relay,,(Role VIEWER B) GetFile Relay,Role CREATOR
,,,,(Role VIEWER H) GetFile Relay,(Role VIEWER H) GetFile Relay,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Relay,Role VIEWER F
,,,,(Role VIEWER I) GetFile Relay,(Role VIEWER I) GetFile Relay,,(Role VIEWER I) GetFile Relay,Role READ/DISCOVER P3
,,,,,,,Checkout-Relay,Role MOD PARTS P3 PROJ PLNR
,,,,,,,(Role VIEWER K 3D1) GetFile Relay,Role VIEWER J 3B
,,,,,,,(Role READ/DISCOVER P3) Read P3 Relay,Role VIEWER H
,,,,,,,(Role VIEWER D) GetFile Relay,Role VIEWER C
,,,,,,,(Role VIEWER F) GetFile Relay,Role PGDS ANALYST
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER G
,,,,,,,,Role VIEWER A
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
